Elapsed_Time_s,Gaze_X_Left,Gaze_Y_Left,Gaze_X_Right,Gaze_Y_Right,Gaze_X_Average,Gaze_Y_Average,Pupil_Diameter_Left,Pupil_Diameter_Right,Validity_Left,Validity_Right,Looking_At_Interviewer,Eye_Movement_Type
7.812,0.4892585575580597,0.316481351852417,0.4553454518318176,0.25737282633781433,0.47230200469493866,0.28692708909511566,2.71820068359375,3.0048370361328125,1,1,False,Fixation
7.829,0.48958832025527954,0.32166510820388794,0.46026700735092163,0.2522295415401459,0.4749276638031006,0.2869473248720169,2.723785400390625,3.0147552490234375,1,1,False,Fixation
7.845,0.4895181953907013,0.3175165355205536,0.4576437771320343,0.2485865354537964,0.4735809862613678,0.283051535487175,2.728424072265625,3.0077362060546875,1,1,False,Fixation
7.862,0.49167343974113464,0.30527108907699585,0.4625588357448578,0.25364843010902405,0.4771161377429962,0.27945975959300995,2.7197723388671875,3.0230255126953125,1,1,False,Fixation
7.879,0.4905449450016022,0.32275688648223877,0.4639549255371094,0.25426676869392395,0.4772499352693558,0.28851182758808136,2.73504638671875,3.018096923828125,1,1,False,Fixation
7.895,0.4902758002281189,0.32357877492904663,0.46479153633117676,0.25521910190582275,0.4775336682796478,0.2893989384174347,2.728759765625,3.0167083740234375,1,1,False,Fixation
7.912,0.4888697862625122,0.32559680938720703,0.4651848077774048,0.2620869278907776,0.4770272970199585,0.2938418686389923,2.7346038818359375,3.0201416015625,1,1,False,Fixation
7.929,0.4900266230106354,0.3264985978603363,0.45969486236572266,0.2586352825164795,0.474860742688179,0.2925669401884079,2.7265777587890625,3.0170745849609375,1,1,False,Fixation
7.945,0.4906145930290222,0.31344419717788696,0.45825380086898804,0.26343291997909546,0.4744341969490051,0.2884385585784912,2.7133941650390625,3.014434814453125,1,1,False,Fixation
7.962,0.4895326793193817,0.32437223196029663,0.46073979139328003,0.2625894844532013,0.47513623535633087,0.29348085820674896,2.727630615234375,3.0067291259765625,1,1,False,Fixation
7.978,0.4904367923736572,0.3168758153915405,0.463724285364151,0.26557454466819763,0.4770805388689041,0.2912251800298691,2.7153472900390625,3.0110626220703125,1,1,False,Fixation
7.995,0.48877495527267456,0.3312944173812866,0.461965411901474,0.2662908434867859,0.4753701835870743,0.29879263043403625,2.7228240966796875,3.01031494140625,1,1,False,Fixation
8.012,0.49545353651046753,0.31416547298431396,0.4617881178855896,0.26932916045188904,0.47862082719802856,0.2917473167181015,2.7041778564453125,3.0036163330078125,1,1,False,Fixation
8.029,0.4944402873516083,0.3048843443393707,0.4610194265842438,0.2642649710178375,0.477729856967926,0.2845746576786041,2.6866455078125,3.0015716552734375,1,1,False,Fixation
8.045,0.48827385902404785,0.30336880683898926,0.4586399495601654,0.2683231234550476,0.47345690429210663,0.28584596514701843,2.6957550048828125,3.0074462890625,1,1,False,Fixation
8.062,0.4889010190963745,0.31852099299430847,0.4625575542449951,0.2744053602218628,0.4757292866706848,0.29646317660808563,2.7099761962890625,3.015960693359375,1,1,False,Fixation
8.078,0.48852208256721497,0.32702144980430603,0.45917537808418274,0.2735280990600586,0.47384873032569885,0.3002747744321823,2.705291748046875,3.00408935546875,1,1,False,Fixation
8.095,0.49372923374176025,0.31087979674339294,0.4568004012107849,0.27241572737693787,0.4752648174762726,0.2916477620601654,2.6876220703125,2.9988861083984375,1,1,False,Fixation
8.111,0.4943596422672272,0.3074903190135956,0.45884785056114197,0.25905853509902954,0.47660374641418457,0.28327442705631256,2.6884765625,2.99713134765625,1,1,False,Fixation
8.128,0.4947509467601776,0.31258922815322876,0.4609776437282562,0.27548590302467346,0.4778642952442169,0.2940375655889511,2.6944122314453125,3.003631591796875,1,1,False,Fixation
8.145,0.4944040775299072,0.3227185010910034,0.4632134437561035,0.271519273519516,0.47880876064300537,0.2971188873052597,2.706207275390625,3.000457763671875,1,1,False,Fixation
8.161,0.4988645613193512,0.31535804271698,0.4661250412464142,0.27284377813339233,0.4824948012828827,0.29410091042518616,2.6799468994140625,2.9974517822265625,1,1,False,Fixation
8.178,0.49546781182289124,0.3111743927001953,0.4672485888004303,0.2713710367679596,0.48135820031166077,0.29127271473407745,2.6918487548828125,2.999755859375,1,1,False,Fixation
8.194,0.4970194101333618,0.31861990690231323,0.46557316184043884,0.27586376667022705,0.48129628598690033,0.29724183678627014,2.695465087890625,3.004638671875,1,1,False,Fixation
8.211,0.5004379749298096,0.32155922055244446,0.467403769493103,0.2764326333999634,0.4839208722114563,0.2989959269762039,2.6934967041015625,3.000885009765625,1,1,False,Fixation
8.228,0.49442508816719055,0.3112609088420868,0.4621712565422058,0.2725960314273834,0.4782981723546982,0.2919284701347351,2.673614501953125,2.9851226806640625,1,1,False,Fixation
8.244,0.4958875775337219,0.3159412443637848,0.4642168879508972,0.2723597586154938,0.48005223274230957,0.2941505014896393,2.6739654541015625,2.979705810546875,1,1,False,Fixation
8.261,0.49701353907585144,0.31612882018089294,0.4645608961582184,0.27704086899757385,0.4807872176170349,0.2965848445892334,2.682952880859375,2.999725341796875,1,1,False,Fixation
8.278,0.49122947454452515,0.3180805444717407,0.4641866385936737,0.272752046585083,0.4777080565690994,0.29541629552841187,2.6789703369140625,2.9791107177734375,1,1,False,Fixation
8.294,0.49179109930992126,0.31577545404434204,0.46625757217407227,0.2799702286720276,0.47902433574199677,0.2978728413581848,2.6829681396484375,2.967498779296875,1,1,False,Fixation
8.311,0.49739983677864075,0.31734365224838257,0.46589985489845276,0.2809787094593048,0.48164984583854675,0.2991611808538437,2.6675872802734375,2.9745635986328125,1,1,False,Fixation
8.328,0.49875548481941223,0.3117368817329407,0.4667118191719055,0.2751634120941162,0.4827336519956589,0.29345014691352844,2.650115966796875,2.965423583984375,1,1,False,Fixation
8.344,0.5009316802024841,0.30399495363235474,0.46810904145240784,0.27982181310653687,0.484520360827446,0.2919083833694458,2.643951416015625,2.9639739990234375,1,1,False,Fixation
